frame,t,elbow_angle,knee_angle,phase,rep,fps
0,6.021139499998753,,,unknown,0,0.2
1,6.166507299998557,,,unknown,0,0.8
2,6.2381174999991345,,,unknown,0,2.2
3,6.2893047999987175,,,unknown,0,3.9
4,6.339484399999492,,,unknown,0,5.5
5,6.38731099999859,,,unknown,0,7.0
6,6.458706199999142,,,unknown,0,7.7
7,6.509287299999414,,,unknown,0,8.9
8,6.564113599999473,,,unknown,0,9.9
9,6.619645999999193,,,unknown,0,10.7
10,6.689372099999673,,,unknown,0,11.0
11,7.427403699999559,,,unknown,0,13.6
12,7.480403499999738,,,unknown,0,14.1
13,7.530818899998849,,,unknown,0,14.7
14,7.587320099999488,,,unknown,0,15.0
15,7.6386293999985355,,,unknown,0,15.4
16,7.702567099999214,,,unknown,0,15.5
17,7.756710499999826,,,unknown,0,15.8
18,7.817769899998893,,,unknown,0,15.8
19,7.87292669999988,,,unknown,0,16.1
20,7.942192599999544,,,unknown,0,15.9
21,8.00256829999853,,,unknown,0,16.0
22,8.06878239999969,,,unknown,0,15.9
23,8.12494279999919,,,unknown,0,16.1
24,8.20428229999925,,,unknown,0,15.7
25,8.26770899999974,,,unknown,0,15.7
26,8.329479699999865,,,unknown,0,15.8
27,8.388064899998426,,,unknown,0,15.9
28,8.44093409999914,,,unknown,0,16.2
29,8.506983499999478,,,unknown,0,16.1
30,8.575449399999343,,,unknown,0,15.9
31,8.629772099999172,,,unknown,0,16.2
32,8.69813719999911,,,unknown,0,16.0
33,8.760932499999399,,,unknown,0,16.0
34,8.819222499998432,,,unknown,0,16.1
35,8.878805899999861,,,unknown,0,16.2
36,8.935801399999036,,,unknown,0,16.3
37,9.007054899999275,,,unknown,0,16.1
38,9.060033699999622,,,unknown,0,16.4
39,9.116221099999166,,,unknown,0,16.5
40,9.171325799999977,,,unknown,0,16.7
41,9.231362499998795,,,unknown,0,16.7
42,9.299247599999944,,,unknown,0,16.5
43,9.3494699999992,,,unknown,0,16.8
44,9.40274219999992,,,unknown,0,17.0
45,9.467035099998611,,,unknown,0,16.9
46,9.529881699998441,,,unknown,0,16.8
47,9.588897599998745,,,unknown,0,16.8
48,9.647201499999937,,,unknown,0,16.8
49,9.735889199999292,,,unknown,0,16.3
50,9.835026599999765,,,unknown,0,15.7
51,9.946811799998613,,,unknown,0,15.0
52,10.040725799999564,,169.3,up,0,14.6
53,10.12823489999937,,177.1,up,0,14.2
54,10.196389299999282,,178.3,up,0,14.3
55,10.258995899999718,,174.6,up,0,14.5
56,10.347899499998675,,173.2,up,0,14.1
57,10.41207570000006,,171.5,up,0,14.3
58,10.480542799999967,,177.7,up,0,14.3
59,10.555815899999288,,177.2,up,0,14.2
60,10.614848100000017,,177.6,up,0,14.5
61,10.672615599998608,,178.0,up,0,14.8
62,10.740580099998624,,172.8,up,0,14.8
63,10.804578100000072,,180.0,up,0,14.8
64,10.878749499999685,,169.2,up,0,14.7
65,10.94528050000008,,167.7,up,0,14.7
66,11.016737599999033,,176.6,up,0,14.7
67,11.080687799998486,,169.0,up,0,14.8
68,11.145577899998898,,171.0,up,0,14.8
69,11.21123179999995,,167.8,up,0,14.9
70,11.276562499999272,,173.0,up,0,14.9
71,11.343141299999843,,173.8,up,0,14.9
72,11.421008999999685,,174.5,up,0,14.7
73,11.484275599999819,,178.8,up,0,14.8
74,11.555252599999221,,176.5,up,0,14.8
75,11.637725199998386,,165.2,up,0,14.5
76,11.698250099998404,,175.5,up,0,14.7
77,11.76618039999994,,175.1,up,0,14.7
78,11.841691899999205,,178.5,up,0,14.5
79,11.903535699999338,,166.0,up,0,14.7
80,11.970465099999274,,164.3,up,0,14.7
81,12.034107999999833,,158.7,up,0,14.8
82,12.09888359999968,,171.9,up,0,14.9
83,12.170933899999,,173.8,up,0,14.8
84,12.232087200000024,,179.3,up,0,14.9
85,12.304763000000094,,178.6,up,0,14.8
86,12.363135300000067,,176.0,up,0,15.1
87,12.431793599998855,,160.9,up,0,15.0
88,12.517641499998717,,166.4,up,0,14.7
89,12.578054199999315,,178.9,up,0,14.9
90,12.64090049999868,,178.2,up,0,15.0
91,12.715189699998518,,177.3,up,0,14.8
92,12.77732879999894,,170.2,up,0,14.9
93,12.852893199999016,,158.8,up,0,14.8
94,12.936351999998806,,145.5,up,0,14.5
95,13.007365899999058,,146.4,up,0,14.5
96,13.078953700000056,,155.1,up,0,14.4
97,13.152610600000116,,156.0,up,0,14.3
98,13.215453899998465,,156.2,up,0,14.5
99,13.283385299999281,,160.1,up,0,14.5
100,13.349604199998794,,158.4,up,0,14.6
101,13.420073699999193,,152.7,up,0,14.5
102,13.481718699998964,,154.1,up,0,14.7
103,13.539783700000044,,156.1,up,0,14.9
104,13.688100100000156,,162.8,up,0,14.8
105,13.768672000000151,,165.1,up,0,14.5
106,13.91345790000014,,163.3,up,0,14.4
107,13.97861489999923,,163.2,up,0,14.5
108,14.054115699998874,,162.5,up,0,14.4
109,14.118088100000023,,162.7,up,0,14.5
110,14.179104499999085,,162.1,up,0,14.7
111,14.243635799999538,,159.4,up,0,14.8
112,14.305408299998817,,159.7,up,0,14.9
113,14.366822799998772,,158.1,up,0,15.0
114,14.427323599999,,151.0,up,0,15.2
115,14.489086300000054,,150.3,up,0,15.3
116,14.553260699998646,,150.6,up,0,15.3
117,14.61388579999948,,153.8,up,0,15.4
118,14.692169599999033,,155.4,up,0,15.2
119,14.75484829999914,,153.8,up,0,15.3
120,14.815970599998764,,147.6,up,0,15.4
121,14.894970499999545,,144.9,up,0,15.1
122,14.950391099999251,,145.0,up,0,15.4
123,15.021350999999413,,145.2,up,0,15.3
124,15.097493499999473,,146.5,up,0,15.0
125,15.163464399998702,,148.4,up,0,15.1
126,15.22840670000005,,150.1,up,0,15.1
127,15.328664599999684,,151.7,up,0,14.6
128,15.39367029999994,,154.8,up,0,14.7
129,15.469046099999105,,155.2,up,0,14.5
130,15.55508159999954,,154.8,up,0,14.2
131,15.615080699999453,,154.2,up,0,14.5
132,15.677024099999471,,156.9,up,0,14.6
133,15.747858699998687,,155.2,up,0,14.6
134,15.813465699999142,,154.8,up,0,14.7
135,15.886945000000196,,156.8,up,0,14.5
136,15.98194169999988,,159.8,up,0,14.1
137,16.04942309999933,,161.2,up,0,14.2
138,16.12356959999852,,163.5,up,0,14.1
139,16.196590199999264,,164.4,up,0,14.1
140,16.260783699999592,,164.7,up,0,14.2
141,16.32891319999908,,165.9,up,0,14.3
142,16.41158059999907,,166.7,up,0,14.1
143,16.478960200000074,,167.7,up,0,14.1
144,16.541738500000065,,168.1,up,0,14.3
145,16.62330909999946,,168.0,up,0,14.1
146,16.682900599998902,,168.0,up,0,14.4
147,16.74302809999972,,168.2,up,0,14.6
148,16.802286599999206,,167.7,up,0,14.8
149,16.871662300000025,,168.0,up,0,14.8
150,16.933466799999223,,166.2,up,0,14.9
151,16.99609959999907,,165.3,up,0,15.0
152,17.064498199999434,,166.2,up,0,15.0
153,17.125664199998937,,167.1,up,0,15.1
154,17.19819379999899,,167.2,up,0,15.0
155,17.277353800000128,,170.2,up,0,14.8
156,17.355207799999334,,164.4,up,0,14.6
157,17.42304409999997,,160.9,up,0,14.6
158,17.50325249999878,,159.5,up,0,14.4
159,17.57151359999989,,158.2,up,0,14.4
160,17.633986599999844,,157.5,up,0,14.6
161,17.70345300000008,,170.7,up,0,14.5
162,17.770647199999075,,179.5,up,0,14.6
163,17.836706199999753,,180.0,up,0,14.6
164,17.911538299998938,,177.3,up,0,14.5
165,17.983198799998718,,175.3,up,0,14.5
166,18.259097899999688,,170.3,up,0,14.5
167,18.33344969999962,,179.4,up,0,14.4
168,18.4181109000001,,173.0,up,0,14.1
169,18.480245499999,,156.3,up,0,14.3
170,18.540888800000175,,160.8,up,0,14.5
171,18.61211430000003,,156.7,up,0,14.5
172,18.67395949999991,,162.1,up,0,14.7
173,18.73474829999941,,159.9,up,0,14.8
174,18.811694299998635,,159.5,up,0,14.7
175,18.94741459999932,,179.5,up,0,14.7
176,19.308251699998436,,141.1,up,0,14.4
177,19.508741999999984,,167.7,up,0,14.6
178,19.568402400000195,,174.2,up,0,14.8
179,19.628367999999682,,173.0,up,0,15.0
180,19.698484999998982,,170.5,up,0,14.9
181,19.763534499999878,,170.2,up,0,14.9
182,19.834514399999534,,166.0,up,0,14.9
183,20.23801999999887,,176.5,up,0,15.0
184,20.44930469999963,,174.9,up,0,14.8
185,22.738511300000027,,,unknown,0,15.0
186,22.79236039999887,,,unknown,0,15.4
187,22.844848799999454,,,unknown,0,15.8
188,22.90338789999987,,,unknown,0,15.9
189,22.98023639999883,,,unknown,0,15.6
190,23.036994299998696,,,unknown,0,15.8
191,23.09086699999898,,,unknown,0,16.1
192,23.154959999999846,,,unknown,0,16.0
193,23.22224180000012,,,unknown,0,15.9
194,23.27705959999912,,,unknown,0,16.2
195,23.339611100000184,,,unknown,0,16.1
196,23.40432039999905,,,unknown,0,16.1
197,23.45824729999913,,,unknown,0,16.3
198,23.515140999999858,,,unknown,0,16.4
199,23.57159169999977,,,unknown,0,16.6
200,23.63122469999871,,,unknown,0,16.6
201,23.692271799998707,,,unknown,0,16.6
202,23.74229539999942,,,unknown,0,16.9
203,23.806668199998967,,,unknown,0,16.8
204,23.87105799999881,,,unknown,0,16.6
205,23.9315235999984,,,unknown,0,16.6
206,23.99448569999913,,,unknown,0,16.6
207,24.066308899999058,,,unknown,0,16.3
208,24.124963299998853,,,unknown,0,16.4
209,24.186133999999583,,,unknown,0,16.4
210,24.245717499999955,,,unknown,0,16.4
211,24.296379199999137,,,unknown,0,16.7
212,24.356116299999485,,,unknown,0,16.7
213,24.410118499999953,,,unknown,0,16.9
214,24.468286199999056,,,unknown,0,16.9
215,24.53082809999978,,,unknown,0,16.9
216,24.58734689999983,,,unknown,0,16.9
217,24.646425999999337,,,unknown,0,16.9
218,24.703244199999972,,,unknown,0,17.0
219,24.762584299998707,,,unknown,0,17.0
220,24.828644199998962,,,unknown,0,16.8
221,24.89598119999937,,,unknown,0,16.6
222,24.950511999999435,,,unknown,0,16.8
223,25.000612799998635,,,unknown,0,17.1
224,25.052682099998492,,,unknown,0,17.3
225,25.119263799999317,,,unknown,0,17.1
226,25.17096859999947,,,unknown,0,17.3
227,25.234012199998688,,,unknown,0,17.2
228,25.291921799998818,,,unknown,0,17.2
229,25.364813299998787,,,unknown,0,16.8
230,25.424906299998838,,,unknown,0,16.8
231,25.486885499998607,,,unknown,0,16.7
232,25.54227879999962,,,unknown,0,16.9
233,25.60442409999996,,,unknown,0,16.8
234,25.661106499999732,,,unknown,0,16.9
235,25.71223309999914,,,unknown,0,17.1
236,25.772543099999893,,,unknown,0,17.1
237,25.836083099999087,,,unknown,0,17.0
238,25.897296899998764,,,unknown,0,16.9
239,25.948801499998808,,,unknown,0,17.1
240,26.004930399998557,,,unknown,0,17.2
241,26.061952299998666,,,unknown,0,17.2
242,26.122850599998856,,,unknown,0,17.2
243,26.17012849999992,,,unknown,0,17.6
244,26.234258399999817,,,unknown,0,17.4
245,26.296373799999856,,,unknown,0,17.2
246,26.35122499999852,,,unknown,0,17.3
247,26.41976429999886,,,unknown,0,17.1
248,26.47742399999879,,,unknown,0,17.1
249,26.533485999998447,,,unknown,0,17.2
250,26.597816199999215,,,unknown,0,17.0
251,26.655844499999148,,,unknown,0,17.0
252,26.70637429999988,,,unknown,0,17.3
253,26.768702499999563,,,unknown,0,17.2
254,26.820069699999294,,,unknown,0,17.4
255,26.8906537999992,,,unknown,0,17.1
256,26.956377799999245,,,unknown,0,16.9
257,27.006281699999818,,,unknown,0,17.2
258,27.071089899998697,,,unknown,0,17.0
259,27.122763599998507,,,unknown,0,17.3
260,27.179343699999663,,,unknown,0,17.3
261,27.234506699998747,,,unknown,0,17.4
262,27.30098849999922,,,unknown,0,17.2
263,27.360584799998833,,,unknown,0,17.1
264,27.427427099999477,,,unknown,0,16.9
265,27.491124799998943,,,unknown,0,16.8
266,27.546428099998593,,,unknown,0,16.9
267,27.595851299998685,,,unknown,0,17.2
268,27.648703099999693,,,unknown,0,17.4
269,27.716032399999676,,,unknown,0,17.2
270,27.767945099998542,,,unknown,0,17.4
271,27.831086700000014,,,unknown,0,17.2
272,27.887696399999186,,,unknown,0,17.3
273,27.950596199998472,,,unknown,0,17.1
274,28.00407119999909,,,unknown,0,17.3
275,28.06140669999877,,,unknown,0,17.3
276,28.127862999999707,,,unknown,0,17.1
277,28.185113300000012,,,unknown,0,17.1
278,28.234689699998853,,,unknown,0,17.4
279,28.28843979999874,,,unknown,0,17.5
280,28.3453585999996,,,unknown,0,17.5
281,28.40427119999913,,,unknown,0,17.5
282,28.45658529999855,,,unknown,0,17.6
283,28.5102040999991,,,unknown,0,17.7
284,28.558302399998865,,,unknown,0,18.1
285,28.618396299998494,,,unknown,0,17.9
286,28.682900599998902,,,unknown,0,17.7
287,28.74090079999951,,,unknown,0,17.6
288,28.79770019999887,,,unknown,0,17.6
289,28.861774899998636,,,unknown,0,17.4
290,28.928126699998757,,,unknown,0,17.2
291,28.982287899998482,,,unknown,0,17.3
292,29.04625599999963,,,unknown,0,17.1
293,29.098551199998838,,,unknown,0,17.3
294,29.163280400000076,,,unknown,0,17.2
295,29.23022039999887,,,unknown,0,16.9
296,29.29073579999931,,,unknown,0,16.9
297,29.363471999999092,,,unknown,0,16.6
298,29.41337289999865,,,unknown,0,16.9
299,29.48676119999982,,,unknown,0,16.6
300,29.54162709999946,,,unknown,0,16.8
301,29.59326129999863,,,unknown,0,17.0
302,29.65581259999999,,,unknown,0,16.9
303,29.720239399999627,,,unknown,0,16.8
304,29.78679000000011,,,unknown,0,16.6
305,29.846116799999436,,,unknown,0,16.6
306,29.912277800000084,,,unknown,0,16.5
307,29.975449199999275,,,unknown,0,16.4
308,30.02801929999987,,,unknown,0,16.7
309,31.113930899999104,,178.0,up,0,14.1
310,31.175304999998843,,174.0,up,0,14.3
311,31.247844099998474,,177.3,up,0,14.2
312,31.312765299999228,,176.3,up,0,14.4
313,31.377170199999455,,177.6,up,0,14.5
314,31.447661499998503,,176.2,up,0,14.4
315,31.50581669999883,,169.2,up,0,14.7
316,31.565536099999008,,154.2,up,0,14.9
317,31.634420799999134,,154.5,up,0,14.9
318,31.699281600000177,,153.5,up,0,14.9
319,31.757261699998708,,156.8,up,0,15.2
320,31.828554599998824,,157.8,up,0,15.1
321,31.911425299998882,,159.4,up,0,14.8
322,31.98744699999952,,158.9,up,0,14.6
323,32.057922599999074,,155.4,up,0,14.6
324,32.11484289999862,,157.4,up,0,14.9
325,32.17801299999883,,159.1,up,0,15.0
326,32.23943650000001,,158.9,up,0,15.1
327,32.3037762999993,,160.4,up,0,15.1
328,32.36786249999932,,159.2,up,0,15.2
329,32.42935909999869,,159.2,up,0,15.3
330,32.49519270000019,,158.5,up,0,15.3
331,32.564619999999195,,161.4,up,0,15.2
332,32.638821200000166,,163.5,up,0,15.0
333,32.7009608999997,,164.6,up,0,15.1
334,32.770380699999805,,164.4,up,0,15.1
335,32.84837460000017,,164.6,up,0,14.8
336,32.92915489999905,,165.8,up,0,14.6
337,32.9931531000002,,165.9,up,0,14.7
338,33.057271099998616,,166.0,up,0,14.8
339,33.11857090000012,,166.0,up,0,14.9
340,33.18556720000015,,165.4,up,0,14.9
341,33.246166599999924,,164.1,up,0,15.1
342,33.30593399999998,,157.9,up,0,15.3
343,33.36091359999955,,153.2,up,0,15.5
344,33.4320031999996,,150.5,up,0,15.4
345,33.48809979999896,,145.6,up,0,15.6
346,33.5629743999998,,139.2,up,0,15.4
347,33.64255339999909,,129.6,up,0,15.1
348,33.71375959999932,,116.3,up,0,15.0
349,33.78150639999876,,112.1,up,0,15.0
350,33.863102599998456,,106.8,up,0,14.7
