frame,t,elbow_angle,knee_angle,phase,rep,fps
0,3.446971499999563,,,unknown,0,0.3
1,3.5983381000005465,,,unknown,0,0.9
2,4.127253599999676,,176.3,up,0,8.2
3,4.2034786000003805,,175.88,up,0,8.7
4,4.281689400000687,,175.6,up,0,9.1
5,4.347985099999278,,175.26,up,0,9.7
6,4.406655700000556,,175.07,up,0,10.4
7,4.486424700000498,,174.86,up,0,10.7
8,4.547378699999172,,174.49,up,0,11.2
9,4.609830800000054,,174.01,up,0,11.7
10,4.667206500000248,,174.11,up,0,12.3
11,4.736334200000783,,174.99,up,0,12.5
12,4.80005329999949,,175.37,up,0,12.8
13,4.862715900000694,,175.45,up,0,13.1
14,4.932767700000113,,174.34,up,0,13.2
15,4.991449700000885,,172.93,up,0,13.6
16,5.051028399999268,,172.11,up,0,13.9
17,5.1173639000007825,,173.27,up,0,14.1
18,5.185000600000421,,173.57,up,0,14.1
19,5.256305200000497,,173.72,up,0,14.1
20,5.330950699999448,,173.61,up,0,14.0
21,5.404985099999976,,173.59,up,0,14.0
22,5.472888599999351,,174.73,up,0,14.1
23,5.540016299999479,,174.83,up,0,14.1
24,5.6151334999995015,,174.22,up,0,14.1
25,5.68200380000053,,173.34,up,0,14.2
26,5.77599630000077,,173.55,up,0,13.8
27,5.840444900000875,,173.52,up,0,14.0
28,5.9040899999999965,,173.42,up,0,14.1
29,5.963285100000576,,174.51,up,0,14.4
30,6.0310389999995095,,175.47,up,0,14.5
31,6.094525099999373,,176.04,up,0,14.6
32,6.15321799999947,,176.05,up,0,14.8
33,6.213384599999699,,176.26,up,0,15.0
34,6.2914170999993075,,176.39,up,0,14.8
35,6.345233500000177,,177.05,up,0,15.2
36,6.399240999999165,,177.38,up,0,15.5
37,6.480549800000517,,176.48,up,0,15.2
38,6.545041800000035,,175.93,up,0,15.2
39,6.604583399999683,,175.72,up,0,15.4
40,6.673592799999824,,176.12,up,0,15.3
41,6.73487600000044,,175.89,up,0,15.4
42,6.794894799999383,,175.64,up,0,15.5
43,6.861679600000571,,175.85,up,0,15.5
44,6.925707399999737,,175.56,up,0,15.5
45,6.9988286000007065,,175.73,up,0,15.3
46,7.058228500000041,,176.02,up,0,15.5
47,7.1257430000005115,,176.4,up,0,15.4
48,7.185695599999235,,176.8,up,0,15.5
49,7.247687999999471,,176.32,up,0,15.6
50,7.316172599999845,,176.09,up,0,15.5
51,7.378143800000544,,175.9,up,0,15.5
52,7.449946900000214,,175.8,up,0,15.4
53,7.514335600000777,,175.94,up,0,15.4
54,7.586637000000337,,175.83,up,0,15.2
55,7.651695799999288,,175.24,up,0,15.3
56,7.7244912999994995,,174.58,up,0,15.1
57,7.793403699999544,,174.1,up,0,15.0
58,7.850701200000913,,174.88,up,0,15.3
59,7.91532990000087,,175.36,up,0,15.3
60,7.981906400000298,,174.79,up,0,15.3
61,8.05303719999938,,173.87,up,0,15.2
62,8.122811100000035,,173.0,up,0,15.1
63,8.189876000000368,,172.26,up,0,15.1
64,8.252419099999315,,172.37,up,0,15.1
65,8.315092999999251,,173.21,up,0,15.2
66,8.376913199999763,,174.55,up,0,15.3
67,8.443153399999574,,175.4,up,0,15.3
68,8.496272000000317,,176.1,up,0,15.7
69,8.56815540000025,,176.02,up,0,15.5
70,8.634690700000647,,176.64,up,0,15.4
71,8.705364299999928,,177.07,up,0,15.3
72,8.763172700000723,,177.24,up,0,15.5
73,8.824088800000027,,177.35,up,0,15.6
74,8.90524379999988,,177.44,up,0,15.3
75,8.96798630000012,,177.73,up,0,15.3
76,9.027262400000836,,177.8,up,0,15.5
77,9.095562500000597,,178.1,up,0,15.4
78,9.157847200000106,,178.32,up,0,15.5
79,9.219895199999883,,178.28,up,0,15.5
80,9.297698800000944,,178.08,up,0,15.3
81,9.361254699999336,,177.75,up,0,15.3
82,9.42861190000076,,176.92,up,0,15.3
83,9.508817600000839,,175.95,up,0,15.0
84,9.579517199999827,,175.04,up,0,14.9
85,9.63771909999923,,174.13,up,0,15.1
86,9.699566900000718,,,unknown,0,15.2
87,9.760145000000193,,,unknown,0,15.4
88,9.815500200000315,,,unknown,0,15.6
89,9.87610549999954,,,unknown,0,15.7
90,9.931965300000229,,,unknown,0,15.9
91,9.991267400000652,,,unknown,0,16.0
92,10.054237599999396,,,unknown,0,16.0
93,10.1092191000007,,,unknown,0,16.2
94,10.181962299999213,,,unknown,0,16.0
95,10.2345662000007,,,unknown,0,16.3
96,10.291506800000207,,,unknown,0,16.4
97,10.340486999999484,,,unknown,0,16.8
98,10.399847700000464,,,unknown,0,16.8
99,10.460572399999364,,,unknown,0,16.8
100,10.515245900000082,,,unknown,0,16.9
101,10.60043880000012,,,unknown,0,16.4
102,10.66277590000027,,,unknown,0,16.4
103,10.71311219999916,,,unknown,0,16.7
104,10.76424229999975,,,unknown,0,17.0
105,10.81726290000006,,,unknown,0,17.2
106,10.887168600000223,,,unknown,0,16.9
107,10.938826699999481,,,unknown,0,17.2
108,10.996748100000332,,,unknown,0,17.2
109,11.048219599999356,,,unknown,0,17.4
110,11.109491299999718,,,unknown,0,17.3
111,11.168519799999558,,,unknown,0,17.2
112,11.22905499999979,,,unknown,0,17.2
113,11.27962959999968,,,unknown,0,17.4
114,11.348109300000942,,,unknown,0,17.2
115,11.403646700000536,,,unknown,0,17.2
116,11.468281999999817,,,unknown,0,17.1
117,11.519693399999596,,,unknown,0,17.3
118,11.566867199999251,,,unknown,0,17.7
119,11.638102200000503,,,unknown,0,17.3
120,11.690761800000473,,,unknown,0,17.5
121,11.748322900000858,,,unknown,0,17.5
122,11.809105300000738,,,unknown,0,17.4
123,11.878116500000033,,,unknown,0,17.1
124,11.931038099999569,,,unknown,0,17.3
125,11.985803400000805,,,unknown,0,17.4
126,12.051240999999209,,,unknown,0,17.2
127,12.115658200000325,,,unknown,0,17.0
128,12.171065799999269,,,unknown,0,17.1
129,12.228463900000861,,,unknown,0,17.1
130,12.313076200000069,,,unknown,0,16.6
131,12.370313100000203,,,unknown,0,16.7
132,12.428604599999744,,,unknown,0,16.7
133,12.48060649999934,,,unknown,0,17.0
134,12.526665800000046,,,unknown,0,17.5
135,12.590205300000889,,,unknown,0,17.3
136,12.655583199999455,,,unknown,0,17.1
137,12.71378630000072,,,unknown,0,17.1
138,12.767212099999597,,,unknown,0,17.3
139,12.82382250000046,,,unknown,0,17.3
140,12.8770700999994,,,unknown,0,17.4
141,12.931021200000032,,,unknown,0,17.6
142,12.985391700000037,,,unknown,0,17.6
143,13.045241699999679,,,unknown,0,17.5
144,13.138489499999196,,175.13,up,0,16.9
145,13.196131200000309,,175.28,up,0,16.9
146,13.265658300000723,,141.67,up,0,16.7
147,13.327717300000586,,125.63,up,0,16.6
148,13.386570900000152,,130.31,up,0,16.6
149,13.471295100000134,,139.28,up,0,16.2
150,13.536607000000004,,146.17,up,0,16.1
151,13.613957699999446,,151.97,up,0,15.8
152,13.693723200000022,,156.52,up,0,15.4
153,13.756642700000157,,159.06,up,0,15.5
154,13.820526600000449,,161.36,up,0,15.5
155,13.897752200000468,,162.41,up,0,15.2
156,13.963926899999933,,161.11,up,0,15.2
157,14.030947100000049,,157.67,up,0,15.2
158,14.110395899999276,,151.79,up,0,14.9
159,14.182014699999854,,145.94,up,0,14.8
160,14.250769399999626,,141.41,up,0,14.8
161,14.330745400000524,,139.59,up,0,14.6
162,14.390023899999505,,138.11,up,0,14.8
163,14.463120399999752,,141.75,up,0,14.7
164,14.542711800000689,,145.5,up,0,14.5
165,14.610232900000483,,148.64,up,0,14.5
166,14.675290299999688,,150.59,up,0,14.6
167,14.763324100000318,,153.71,up,0,14.3
168,14.84849050000048,,155.03,up,0,14.0
169,14.908440600000176,,155.82,up,0,14.3
170,14.991564899999503,,156.38,up,0,14.1
171,15.05648889999975,,156.66,up,0,14.2
172,15.114775800000643,,156.71,up,0,14.5
173,15.19975549999981,,156.51,up,0,14.2
